subXforY,3,2,1,1,"none","Substitute $#1$ for $#2$ in Eq.~\ref{eq:#3}."
functionIsEven,4,3,1,1,"none","$#1$ is even with respect to $#2$, so replace $#1$ with $#3$ in Eq.~\ref{eq:#4}."
functionIsOdd,4,3,1,1,"none","$#1$ is odd with respect to $#2$, so replace $#1$ with $#3$ in Eq.~\ref{eq:#4}."
AssumeNdimensions,2,1,0,1,"none","Assume $#1$ dimensions in Eq.~\ref{eq:#2}."
ReplaceCurlWithLeviCevitaSummationContravariant,1,0,1,1,"Einstein summation notation","Replace curl in Eq.~\ref{eq:#1} with Levi-Cevita contravariant."
ReplaceSummationNotationWithVectorNotation,1,0,1,1,"Einstein summation notation","Replace summation notation in Eq.~\ref{eq:#1} with vector notation."
replaceScalarWithVector,1,0,1,1,"none","Replace scalar variables in Eq.~\ref{eq:#1} with equivalent vector variables."
conjugateFunctionX,2,1,1,1,"none","Conjugate $#1$ in Eq.~\ref{eq:#2}."
conjugateBothSides,1,0,1,1,"none","Conjugate both sides of Eq.~\ref{eq:#1}."
conjugateTransposeBothSides,1,0,1,1,"this is a combination of &quot;apply conjugate&quot; and then &quot;apply transpose&quot;","Conjugate transpose of both sides of Eq.~\ref{eq:#1}."
distributeConjugateTransposeToFactors,1,0,1,1,"this is a combination of &quot;distribute conjugate&quot; and then &quot;distribute transpose&quot;","Distribute conjugate transpose to factors in Eq.~\ref{eq:#1}."
distributeConjugateToFactors,1,0,1,1,"none","Distribute conjugate to factors in Eq.~\ref{eq:#1}."
expandMagnitudeToConjugate,2,1,1,1,"none","Expand $#1$ in Eq.~\ref{eq:#2} with conjugate."
multLHSbyUnity,2,1,1,1,"none","Multiply LHS of Eq.~\ref{eq:#2} by 1, which in this case is $#1$"
multRHSbyUnity,2,1,1,1,"none","Multiply RHS of Eq.~\ref{eq:#2} by 1, which in this case is $#1$"
multbothsidesby,2,1,1,1,"none","Multiply both sides of Eq.~\ref{eq:#2} by $#1$."
dividebothsidesby,2,1,1,1,"none","Divide both sides of Eq.~\ref{eq:#2} by $#1$."
expandIntegrand,1,0,1,1,"none","Expand integrand of Eq.~\ref{eq:#1}."
addZerotoLHS,2,1,1,1,"none","Add zero to LHS of Eq.~\ref{eq:#2}, where $0=#1$."
addZerotoRHS,2,1,1,1,"none","Add zero to RHS of Eq.~\ref{eq:#2}, where $0=#1$."
addXtoBothSides,2,1,1,1,"none","Add $#1$ to both sides of Eq.~\ref{eq:#2}."
subtractXfromBothSides,2,1,1,1,"none","Subtract $#1$ from both sides of Eq.~\ref{eq:#2}."
combineLikeTerms,1,0,1,1,"none","Combine like terms in Eq.~\ref{eq:#1}."
takeCurlofBothSides,1,0,1,1,"Curl: $\vec{\nabla}\times$","Apply curl to both sides of Eq.~\ref{eq:#1}."
applyGradientToScalarFunction,1,0,1,1,"Curl: $\vec{\nabla}f$","Apply gradient to both sides of Eq.~\ref{eq:#1}."
applyDivergence,1,0,1,1,"Curl: $\vec{\nabla} \cdot$","Apply divergence to both sides of Eq.~\ref{eq:#1}."
indefIntOver,2,1,1,1,"indefinite integral over variable","Indefinite integral of both sides of Eq.~\ref{eq:#2} over $#1$."
indefIntegration,1,0,1,1,"indefinite integral","Indefinite integral of both sides of Eq.~\ref{eq:#1}."
indefIntLHSOver,2,1,1,1,"indefinite integral over variable","Indefinite integral of LHS of Eq.~\ref{eq:#2} over $#1$."
indefIntRHSOver,2,1,1,1,"indefinite integral over variable","Indefinite integral of RHS of Eq.~\ref{eq:#2} over $#1$."
IntOverFromTo,4,3,1,1,"$\int_{#2}^{#3}\ d #1$","Integrate Eq.~\ref{eq:#4} over $#1$ from lower limit $#2$ to upper limit $#3$."
EvaluateDefiniteIntegral,2,0,2,1,"<comment/>","Integrate Eq.~\ref{eq:#1} using identity Eq.~\ref{eq:#2}."
differentiateWRT,2,1,1,1,"\frac{d}{d #1}","Differentiate Eq.~\ref{eq:#2} with respect to $#1$."
partialDiffWRT,2,1,1,1,"\frac{\partial}{\partial #1}","Partially differentiate Eq.~\ref{eq:#2} with respect to $#1$."
Xcrossbothsidesby,2,<number_of_feeds/>,1,1,"arg x LHS = arg x RHS","Take cross product of $#1$ and Eq.~\ref{eq:#2}."
bothsidescrossX,2,1,1,1,"LHS x arg = RHS x arg","Take cross product of Eq.~\ref{eq:#2} and $#1$"
Xdotbothsides,2,1,1,1,"arg \cdot LHS = arg \cdot RHS","Take inner product of $#1$ with Eq.~\ref{eq:#2}."
bothsidesdotX,2,1,1,1,"LHS \cdot arg = RHS \cdot arg","Take inner product of Eq.~\ref{eq:#2} with $#1$"
solveForX,2,1,1,1,"none","Solve Eq.~\ref{eq:#2} for $#1$."
factorOutX,2,1,1,1,"none","Factor $#1$ from Eq.~\ref{eq:#2}."
factorOutXfromLHS,2,1,1,1,"none","Factor $#1$ from the LHS of Eq.~\ref{eq:#2}."
factorOutXfromRHS,2,1,1,1,"none","Factor $#1$ from the RHS of Eq.~\ref{eq:#2}."
applyOperatorToKet,1,0,1,1,"none","Apply operator to ket in Eq.~\ref{eq:#1}."
applyOperatorToBra,1,0,1,1,"none","Apply operator to bra in Eq.~\ref{eq:#1}."
simplify,1,0,1,1,"none","Simplify Eq.~\ref{eq:#1}."
makeEqPower,2,1,1,1,"none","Make Eq.~\ref{eq:#2} the power of $#1$."
selectRealParts,1,0,1,1,"none","Select real parts of Eq.~\ref{eq:#1}."
selectImagParts,1,0,1,1,"none","Select imaginary parts of Eq.~\ref{eq:#1}."
expandLHS,1,0,1,1,"none","Expand the LHS of Eq.~\ref{eq:#1}."
expandRHS,1,0,1,1,"none","Expand the RHS of Eq.~\ref{eq:#1}."
swapLHSwithRHS,1,0,1,1,"none","Swap LHS of Eq.~\ref{eq:#1} with RHS."
sumExponents,1,0,1,1,"none","Sum exponents on LHS and RHS of Eq.~\ref{eq:#1}."
sumExponentsLHS,1,0,1,1,"none","Sum exponents on LHS of Eq.~\ref{eq:#1}."
sumExponentsRHS,1,0,1,1,"none","Sum exponents on RHS of Eq.~\ref{eq:#1}."
addEqXtoEqY,2,0,2,1,"assumes result form LHS(X)+LHS(Y)=RHS(X)+RHS(Y)","Add Eq.~\ref{eq:#1} to Eq.~\ref{eq:#2}."
subRHSofEqXintoEqY,2,0,2,1,"none","Substitute RHS of Eq.~\ref{eq:#1} into Eq.~\ref{eq:#2}."
subLHSofEqXintoEqY,2,0,2,1,"none","Substitute LHS of Eq.~\ref{eq:#1} into Eq.~\ref{eq:#2}."
multEqXbyEqY,2,0,2,1,"assumes result form LHS(X)*LHS(Y)=RHS(X)*RHS(Y)","Multiply Eq.~\ref{eq:#1} by Eq.~\ref{eq:#2}."
LHSofEqXeqLHSofEqY,2,0,2,1,"none","LHS of Eq.~\ref{eq:#1} is equal to LHS of Eq.~\ref{eq:#2}."
RHSofEqXeqRHSofEqY,2,0,2,1,"none","RHS of Eq.~\ref{eq:#1} is equal to RHS of Eq.~\ref{eq:#2}."
EqXisTrueUnderconditionEqY,2,0,2,1,"none","Eq.~\ref{eq:#1} is valid when Eq.~\ref{eq:#2} occurs."
raiseBothSidesToPower,2,1,1,2,"Two outputs for +/- solutions","Raise both sides of Eq.~\ref{eq:#2} to $#1$."
claimEqXequalsEqY,2,0,2,0,"none","Thus we see that Eq.~\ref{eq:#1} is equivalent to Eq.~\ref{eq:#2}."
claimLHSequalsRHS,1,0,1,0,"none","Thus we see that LHS of Eq.~\ref{eq:#1} is equal to RHS."
declareIdentity,1,0,0,1,"<comment/>","Eq.~\ref{eq:#1} is an identity."
normalizationCondition,1,0,0,1,"<comment/>","Normalization condition is Eq.~\ref{eq:#1}."
declareInitialEq,1,0,0,1,"pass label of starting equation","Eq.~\ref{eq:#1} is an initial equation."
declareAssumption,1,0,0,1,"pass label of starting equation","Eq.~\ref{eq:#1} is an assumption."
declareGuessSolution,1,0,1,1,"applies to differential equations","Judicious choice as a guessed solution to Eq.~\ref{eq:#1} is"
boundaryCondition,1,0,1,1,"applies to differential equations","A boundary condition for Eq.~\ref{eq:#1} is"
declareFinalEq,1,0,1,0,"pass label of starting equation","Eq.~\ref{eq:#1} is one of the final equations."
